0.000000	-263.727936 -0.000002 0.000000 0.000002 -0.000005 0.000004 -0.000018 0.000011 0.000018 -0.000004 0.000000 -0.000002 -0.000026 
0.005805	-36.692665 0.553237 0.622005 0.012991 -0.299107 0.170728 -0.126600 0.055607 0.177666 0.568766 0.185161 0.207889 0.567932 
0.011610	-21.500862 2.311332 0.487977 0.569287 0.180677 0.295246 0.129604 0.080700 0.239631 0.153324 0.062658 -0.026741 0.043257 
0.017415	-24.274950 2.003881 0.897440 0.546237 -0.269135 0.536344 0.292325 -0.271556 0.271737 0.387240 0.246738 0.306363 -0.064740 
0.023220	-24.852865 1.257027 0.183007 0.295170 0.107625 0.888532 0.820806 0.424424 0.134151 0.504645 0.585846 0.343705 -0.007111 
0.029025	-24.961014 1.546477 1.002687 0.743045 0.067223 0.635297 0.124465 0.268613 0.067665 0.152699 -0.047785 -0.047044 0.250784 
0.034830	-24.475723 1.581309 0.538892 0.553606 0.131131 0.441013 0.455712 -0.026760 0.340765 0.466155 -0.035204 -0.059355 0.288548 
0.040635	-25.095228 1.063021 -0.026029 0.252658 -0.317421 0.235302 0.461708 -0.242058 0.030483 0.235875 0.339290 0.398383 0.156085 
0.046440	-25.228207 1.299334 0.056421 0.266790 0.222724 0.248606 0.352603 0.371005 0.417936 -0.066003 0.229045 0.463812 0.168202 
0.052245	-24.824324 1.861251 0.617435 0.645215 0.030778 0.324433 0.253246 -0.241777 0.058701 0.512963 0.011930 -0.108047 -0.079056 
0.058050	-25.098591 1.017788 0.024330 0.574455 -0.161366 0.504678 0.779284 0.534264 0.617474 0.266620 0.136885 0.082513 -0.095155 
0.063855	-24.497448 1.726326 0.359715 0.580029 -0.185108 0.785686 0.700105 -0.032727 -0.444455 0.230228 0.539757 0.011001 -0.353195 
0.069660	-24.569633 1.774490 0.463583 0.844185 -0.051693 0.343137 0.550929 0.080251 0.300162 0.154585 0.023236 -0.264905 -0.012121 
